Feature,COANC-B01-T0-1,COANC-B01-T0-2,COANC-B01-T1-1,COANC-B01-T1-2,COANC-B01-T2-1,COANC-B01-T2-2,COANC-B01-T3-1,COANC-B01-T3-2,COANC-B01-T4-1,COANC-B01-T4-2,COANC-B01-T5-1,COANC-B01-T5-2,COANC-B01-T6-1,COANC-B01-T6-2,COANC-B01-T7-1,COANC-B01-T7-2,COANC-B02-T0-1,COANC-B02-T0-2,COANC-B02-T1-1,COANC-B02-T1-2,COANC-B02-T2-1,COANC-B02-T2-2,COANC-B02-T3-1,COANC-B02-T3-2,COANC-B02-T4-1,COANC-B02-T4-2,COANC-B02-T5-1,COANC-B02-T5-2,COANC-B02-T6-1,COANC-B02-T6-2,COANC-B02-T7-1,COANC-B02-T7-2,COANC-B03-T0-1,COANC-B03-T0-2,COANC-B03-T1-1,COANC-B03-T1-2,COANC-B03-T2-1,COANC-B03-T2-2,COANC-B03-T3-1,COANC-B03-T3-2,COANC-B03-T4-1,COANC-B03-T4-2,COANC-B03-T5-1,COANC-B03-T5-2,COANC-B03-T6-1,COANC-B03-T6-2,COANC-B03-T7-1,COANC-B03-T7-2,COANC-B04-T0-1,COANC-B04-T0-2,COANC-B04-T1-1,COANC-B04-T1-2,COANC-B04-T2-1,COANC-B04-T2-2,COANC-B04-T3-1,COANC-B04-T3-2,COANC-B04-T4-1,COANC-B04-T4-2,COANC-B04-T5-1,COANC-B04-T5-2,COANC-B04-T6-1,COANC-B04-T6-2,COANC-B04-T7-1,COANC-B04-T7-2
Group,T0,T0,T1,T1,T2,T2,T3,T3,T4,T4,T5,T5,T6,T6,T7,T7,T0,T0,T1,T1,T2,T2,T3,T3,T4,T4,T5,T5,T6,T6,T7,T7,T0,T0,T1,T1,T2,T2,T3,T3,T4,T4,T5,T5,T6,T6,T7,T7,T0,T0,T1,T1,T2,T2,T3,T3,T4,T4,T5,T5,T6,T6,T7,T7
C22:0,710.3351157,773.1277204,743.6117224,814.0414564,724.7428538,838.5122662,794.2098293,682.1866704,722.916054,665.7126181,627.1525579,618.1649405,674.937921,688.8371395,716.8832434,625.6993209,736.8019381,681.650633,791.600046,716.8978964,666.9350849,725.4410725,625.9632277,613.7407217,701.8831421,576.2819558,521.7153101,509.002871,668.3953765,604.347761,785.8708607,736.285686,602.1074614,649.2050333,666.0070905,762.6504283,801.8005458,684.3182961,620.6242851,595.392494,794.1971058,675.7773086,737.6710328,660.477253,755.3216185,690.8719112,600.8299008,809.8556588,823.2845952,765.042136,723.0796926,817.3463454,734.5040866,781.9275915,758.8725772,764.1130711,689.192937,735.2550333,753.4552244,671.8023598,695.1595433,648.4534328,845.0608792,617.6070744
C22:1n9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C22:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C22:6(n3) (DHA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C23:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C24:0,365.1908864,418.8667546,400.9134578,445.9184391,350.2814501,371.975127,411.326247,333.6720936,346.0112647,323.1519724,310.9166728,357.4166885,472.7352475,398.2750369,393.9860979,321.0580334,460.0486946,384.056562,515.4659637,503.1935791,442.8023147,482.7530556,420.8972321,398.5167118,492.881701,393.5587797,402.9316299,388.7357357,501.9902957,463.2266283,408.0820665,379.157095,303.1396516,326.6389842,357.726252,407.9390819,411.474817,370.5743496,329.8523172,332.8309317,472.5317472,359.6591675,386.0662633,342.8127143,442.523685,395.2986355,347.4568507,435.1685638,453.6677011,404.3270399,466.4951866,465.0995287,422.744623,454.8749836,415.9853187,416.1100348,331.5835523,353.4363094,375.7148873,369.1752153,358.9516985,289.5073716,430.709245,283.6970882
C24:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6:0,0,0,0,0,0,0,0,0,0,118.0578281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8:0,0,0,0,0,0,0,0,0,0,6.812067971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
