feature,Common-bean_G13094_cooked_pos_472025_011,Common-bean_G13094_cooked_pos_472025_012,Common-bean_G13094_cooked_pos_472025_013,Common-bean_G17162A_cooked_pos_472025_014,Common-bean_G17162A_cooked_pos_472025_015,Common-bean_G17162A_cooked_pos_472025_016,Common-bean_G4449_cooked_pos_472025_023,Common-bean_G4449_cooked_pos_472025_024,Common-bean_G4449_cooked_pos_472025_025,Lima-bean_G26506_cooked_pos_472025_017,Lima-bean_G26506_cooked_pos_472025_018,Lima-bean_G26506_cooked_pos_472025_019,Tepary-bean_G40084_cooked_pos_472025_020,Tepary-bean_G40084_cooked_pos_472025_021,Tepary-bean_G40084_cooked_pos_472025_022,Common-bean_G4449_019,Common-bean_G4449_020,Common-bean_G4449_021,Common-bean_G13094_022,Common-bean_G13094_023,Common-bean_G13094_024,Lima-bean_G26506_051,Lima-bean_G26506_052,Lima-bean_G26506_053,Common-bean_G17162A_038,Common-bean_G17162A_039,Common-bean_G17162A_040,Tepary-bean_G40084_085,Tepary-bean_G40084_086,Tepary-bean_G40084_087
Group,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw
Xanthosine_neg,174740.3427,177979.4228,188828.675,82608.49074,77854.12637,78075.04591,30067.6209,27932.98712,27356.4846,122454.2559,121465.8045,122383.3245,259229.0952,271332.608,265172.1811,26074.65186,11560.82222,40136.63931,0,0,446796.6671,0,0,0,140346.6086,136465.6477,135415.9896,186916.0032,186850.5025,187061.3066
Xanthorhamnin_neg,0,0,0,0,0,0,0,0,0,20119.21559,19952.96217,19340.28929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthine_neg,48669.7118,49734.85078,47827.46097,18467.93521,10427.41713,12051.33865,34817.93884,36864.62126,34112.55623,53950.57168,54396.47345,56199.22104,2066.363103,2596.555395,1995.177117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitexin_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.2283901
Valine_pos,43528.4087,44563.0423,44558.38335,48880.3985,47183.24387,49417.71834,67092.82871,67019.40913,67649.34075,37311.02433,35649.22459,36841.65049,60485.42905,63397.89705,62758.86183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursolic acid_pos,247820.4924,245836.1318,250048.789,22489.81418,21264.05698,21008.29473,18842.63893,18977.66413,18789.49267,559430.848,563580.9068,556302.6313,1051.541961,467.0615744,1023.405237,31812.13693,32282.25929,33512.17634,877758.22,822531.6569,826292.4864,619924.0247,629841.8391,619568.6114,4207.22129,1981.878812,1060.865093,0,0,245.0065959
Urocanic acid_pos,323469.6664,347210.0774,348249.9786,659157.4226,646471.639,486577.1031,438152.2807,436542.6634,436075.4434,549434.0667,542338.2601,549256.8033,296707.6535,215774.1349,239266.2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URIDINE-5-MONOPHOSPHATE_neg,70460.42357,71143.79837,73060.02203,75276.79236,72431.82644,74316.37325,63456.96505,63185.32059,61367.61562,17411.72195,20055.75863,18568.23583,11542.01842,21213.5722,5641.197666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uridine_neg,308345.9652,316579.8131,322943.8751,283177.4302,271164.7108,275035.2417,20672.78844,12771.08293,19168.45136,54348.30002,52768.76818,52767.76059,549852.5526,579531.575,576431.1422,253394.3379,454721.873,381871.1179,0,0,281969.6393,0,0,0,324723.6017,318410.9215,323259.4933,309577.0395,313490.9032,308846.1357
Uracil_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207634.2733,202701.8096,197496.6899,249189.7879,235453.9298,246936.4453,114260.0765,116059.8026,111204.7654,0,134045.4671,128446.6575,237743.476,236709.1398,356007.4668
Undecanedioic acid_neg,42737.90944,44746.73153,44546.87066,70465.7294,66972.98286,68014.02576,40975.20937,40899.4938,40406.71489,23151.51812,22962.00942,23572.41995,56865.66481,58780.215,58771.50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberonic acid glucoside_neg,2261175.479,2313319.473,2292986.424,4440463.966,2231655.001,4367012.811,2446211.039,2462558.668,2402632.135,2171782.1,2153859.571,2172075.436,2630063.829,2742731.351,2730852.137,304157.1735,304811.1735,305287.7298,145761.205,138722.5981,136330.1947,240742.4953,242670.4409,147233.2184,185284.0404,209264.8355,190508.7086,19344.86303,87732.89726,51317.259
Tryptophan_pos,1277319.048,1446544.086,1407816.578,2250488.373,2282330.034,1981749.027,2141777.507,2139016.509,2057241.511,1097171.836,1018888.794,1103843.862,471003.2742,591008.4669,586049.6894,0,0,0,0,0,0,2301.076875,3870.055508,542.4367329,3818693.702,0,299.5479501,0,0,0
Tryptamine_pos,0,0,0,0,0,0,1901.724609,6010.064251,8925.992082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropic acid_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5033.242679,8204.336385,5179.548597,796.280268,603.9653944,290.9347231
Trigonelline hydrochloride_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4842448.593,4687359.308,4685582.505,4216152.143,4001906.23,4048725.593,5740508.364,5819073.916,5712833.581,2436441.643,5578528.053,4949987.842,3658369.752,3634508.74,4411355.285
Trifolin_neg,114442.2177,155545.052,425921.4477,891793.5395,869551.9996,875766.1143,1333245.834,1336521.14,1310498.548,66286.62155,65316.55747,65538.38494,78428.83947,81301.39232,82988.31409,6319609.733,5768751.476,3823261.248,20656.1953,27860.8214,66295447.82,114.0857512,223.0386443,128.4104193,560152.1715,551004.0424,554139.2526,534.8001024,533.2064705,612.9635539
Triethyl citrate_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31794.09556,23124.28625,24430.98218,30801.96722,29212.76787,29700.89974,12941.50512,5656.347617,12337.71742,11660.78204,13131.34954,13215.69303,30854.54723,34142.5792,26255.09653
Tridecanedioic acid_neg,5804.603575,12139.66005,11865.77201,18216.55004,17553.41682,17342.91848,5767.85906,10268.91714,10114.16132,7506.353654,9171.636249,8785.517395,18647.19822,19446.66349,19098.66517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trehalose_neg,1788859.261,1805201.348,1820010.721,1625287.316,1566104.988,1589432.242,1378829.261,1379501.813,1315512.026,770827.124,750439.5273,753736.9469,1576420.656,1644196.962,1648764.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trans-Chalcone|Chalcone_pos,23833.05086,24390.00072,24752.27428,28378.44865,28709.00685,28174.32597,24356.46968,24369.67299,24668.9452,18821.84275,18254.70778,18234.44729,19901.6485,19345.68065,20210.90856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiabendazole_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxifolin_neg,0,0,0,5647.67877,2833.175758,5500.357757,842.58096,890.1353605,259.2517117,9494.648144,9634.681771,9403.893189,437.6079222,527.0783497,242.8669092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syringic acid_neg,27429.33367,27659.91872,29112.50238,9247.92286,9411.838993,8954.510486,23634.05598,24550.37127,23395.98609,6404.643614,6885.721144,6528.925514,665.358928,651.3356692,414.8621602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surfactin B_pos,139828.8819,135505.904,138353.7187,132613.3249,130031.4626,131252.6678,21455.38423,21102.09714,20482.614,25817.31916,25705.54967,25300.10035,4326.000406,4623.999722,4472.239682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sucrose_pos,375704.2456,382422.8839,382822.2661,366983.679,360867.2424,363708.3505,361787.5942,358547.6734,361724.0502,145774.5264,146553.7423,145146.2785,504881.2571,505813.1696,502783.7992,671425.442,565590.1672,548617.41,576791.1514,425618.6725,413660.2458,61603.75451,62166.59264,62570.72327,157064.9988,146417.726,134764.5923,593438.1753,588472.0938,752752.3871
Succinic acid_neg,414121.2734,428345.5931,436468.6434,333820.8976,323038.6841,334845.5802,198394.8998,200110.3109,190964.4495,485556.9702,479863.5091,477547.1954,226047.6007,232940.4566,233240.1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suberic acid_neg,67435.65848,69080.83212,69811.425,118325.8721,113954.0892,115333.8422,61163.08815,62115.55454,59878.31453,41574.18108,41167.06395,40732.42629,151947.5666,157064.227,159979.4294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soyacerebroside II_pos,600633.8209,596662.6565,605637.9001,422837.4947,415843.9818,421748.3343,507910.684,501537.689,508629.5693,607459.3643,607806.9336,600052.8242,522450.7243,515454.8195,516709.9466,1112612.263,1061527.349,1074789.531,1268800.214,1217598.258,1205760.223,781442.3925,800416.6905,785677.3919,557529.5694,649229.3971,596785.8277,1020520.186,1011540.431,1242491.489
Sophoraflavonoloside_neg,90263.87957,91434.58663,92298.35285,568412.3243,586873.5972,596334.0963,264560.526,265526.627,256809.2287,524730.8394,519499.4216,520478.6441,7704.490583,6522.762364,7007.31909,327938.1555,338122.7771,327898.4854,0,0,27471.72411,0,0,0,588628.9014,573590.0319,579067.0345,2875.076202,2766.1065,2906.918301
Sissotrin_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinapic acid_pos,30186.67964,32149.73096,30968.86502,80682.34835,73132.43135,83977.67662,56243.40427,58418.63018,55165.28087,117627.8791,109347.1881,114743.0701,1317.927547,234.0955262,633.2512353,287452.8724,286869.7772,289135.4243,242614.1249,234175.9201,240189.9435,243444.1871,223034.9392,240526.6038,191235.6359,204221.9168,199334.6969,0,0,0
Sebacic acid_neg,38869.70839,38560.78099,39702.91845,71508.17299,70812.36064,69707.76883,39573.55133,39373.90142,38858.41428,27671.39818,26813.97742,27507.24211,94635.19401,100368.4253,99340.06389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scopoletin_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.9303587,1867.759521,1778.941726,0,145.4325497,0,0,0,0,0,0,0
Sarcosine_pos,59039.53212,61545.05981,61417.90049,30121.51832,25371.24723,24762.34319,33413.98908,33193.34928,33958.56572,1615.473513,2593.463049,3116.096471,37682.09219,37542.00975,38451.60444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salicylic acid_neg,7396.67261,4397.211764,7172.085224,13407.70401,13349.04209,13427.52448,6925.426156,6575.096534,6425.27875,16078.6486,16351.34783,16249.78826,45814.98911,48491.31066,47266.74821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-Adenosyl-L-homocysteine_pos,37328.28299,37325.617,37861.12337,38464.89956,38145.51361,38831.53212,2645.15579,3253.330272,3801.256984,9328.397393,9119.798723,9019.235222,86603.88124,90756.30825,89440.31922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutin_pos,13992.56036,13982.43921,13501.0229,190335.243,192741.9197,194193.1169,80177.78529,83482.08968,81461.33386,208426.0511,207961.1016,206625.0636,821.9056333,1229.464826,1718.43608,7090.330103,9273.462156,6882.836256,0,170.6382018,390.1807529,202461.6062,182433.3919,178399.4612,15390.51852,13367.90791,14010.83128,0,0,398.4362257
Robinetin trimethyl ether_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23117.34429,25052.73979,21071.81653
Raffinose_pos,257594.0803,263699.6491,263360.8685,346917.313,338866.9011,341747.6577,211279.6764,212035.6523,214842.0088,214690.7072,212620.6901,213196.9537,146997.5146,148802.9521,146715.0532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quercetin-3-O-glucose-6''-acetate_neg,106219.5195,107422.0888,109342.18,76911.68914,75648.79305,75435.84165,3657.258248,4784.058302,3384.161413,23804.65391,23052.38427,23400.19021,511.633469,414.9408558,180.0430622,0,2210.436055,13548.30965,0,0,535481.9136,0,0,0,146663.3128,143302.3155,145583.7785,0,0,0
Quercetin_pos,72868.44433,72382.33976,73491.68087,20563.42938,20405.4381,19657.66781,938.3251331,1318.61973,1950.630151,14558.55749,14760.58633,14967.22553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quercetin_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4607.579703,0,0,76559.89383,0,0,0,30622.49413,29600.49318,30778.0898,821.6098824,695.6538337,584.6000018
Quercetin 3-O-malonylglucoside_pos,111994.5217,111877.1969,112473.2054,110576.5567,109850.4149,111018.0223,5685.585455,6067.055951,5504.739998,30628.47582,30379.1618,30341.1924,215.2106192,109.6510139,104.9401615,35240.25785,34483.6984,34971.11806,584994.3573,578155.6109,581643.8288,5210.624419,5429.933772,2848.186055,215760.0006,257915.776,230349.8553,0,0,38673.45565
PYROGLUTAMIC ACID_pos,718928.396,721047.485,750257.9323,1127867.541,1083514.336,1105160.845,760302.8349,758159.8484,734595.8922,321864.6528,315162.2699,318865.474,1137182.085,1181950.484,1185196.141,196013.09,190873.6631,192742.8605,177158.12,172455.6949,173054.78,146379.2431,144450.8875,142881.7876,28672.46449,111192.169,100886.9686,198861.1533,197413.2127,349694.0403
purpactin A_pos,471931.0367,455773.1701,464779.9123,569924.3559,570416.6828,567346.0193,456877.668,453760.1008,461619.7221,421588.3069,419309.5841,416543.0318,497694.5667,494958.3602,493557.8223,577401.2474,590623.5831,586050.7852,605880.7161,600478.6641,597694.9044,435988.8752,447601.3851,442683.0172,537145.5724,797504.0747,537539.7654,563546.4416,558162.0163,542990.6917
Proline_pos,78272.59078,78807.25724,78440.64553,77382.16535,75363.61122,75449.1224,73678.48083,71470.52714,74361.42664,44587.14742,44151.04613,43666.07393,94136.39605,95991.30624,94316.38722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Procyanidin B1_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888913.9899,679901.3638,190593.9405,0,0,0,0,0,0,2884.348678,1692.961653,2003.255835,6785.388742,7461.880096,6532.543614
PI(16:0/9-HODE)_neg,65785.98617,64404.3626,65156.64248,4707.417646,4840.656789,3419.189586,6680.01794,4746.877971,9207.783495,79763.38428,78142.72471,78238.94244,34986.41914,37113.51973,36238.84187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phthalic acid_neg,181896.6575,185725.7778,191269.0034,347945.5648,342791.1541,341530.1411,183735.7061,186580.3778,182174.4893,164597.0683,160729.6553,165831.3566,281195.204,282065.404,283582.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlorizin_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phloretin_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phloretic acid_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.8902157,1623.921121,884.9965697,323.986244,1501.845564,524.6181984
Phenethyl rutinoside_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24740.21695,24937.41784,24406.56142,104.2259706,109.7878728,113.8809247
Peonidin-3-O-beta-galactopyranoside_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4338.422308,2324.768451,2892.401983,0,0,0,386.5965052,1620.225463,405.2270271,0,0,0,0,0,49185.37457
Paprazine_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantothenate_neg,59657.08913,60062.2896,60468.31666,25604.24972,13335.70989,20268.34982,18783.55391,17172.83774,18185.81705,119709.5468,120135.3472,123503.082,12205.14774,11036.45024,1302.120188,1117.663873,812.292954,1063.828419,0,0,0,0,0,0,944.2430449,1541.58264,591.9510821,538.7673587,338.0741317,254.4982631
oxiglutatione_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2648.268309,1153.251711,3236.645475,4975.438224,1199.196037,5327.734495
O-ACETYL-L-SERINE_neg,116259.7118,117140.3974,119560.7842,67868.46962,65613.36654,66130.35726,62761.63843,62873.86167,64697.10016,102183.4966,102430.5404,101249.676,111376.2597,116045.0354,115976.5857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-026667_pos,19142.69572,19744.55902,20352.93665,133180.57,131910.0334,132537.2562,54185.07534,53302.57469,53912.96879,10623.52954,10731.94736,10812.56381,1201.375327,1198.713737,513.4818288,236316.1145,235383.3605,233670.6557,134153.4575,75168.69044,64672.42566,132837.9369,134812.9,133763.9563,148314.5607,184977.5167,165255.7086,1083.322981,322.9723883,497.9499616
NP-026665_pos,463109.4238,472558.4826,482219.1475,833543.1652,833162.6273,840310.5502,440412.549,437361.8115,443409.8223,59309.57593,58981.12711,58243.14862,14589.33528,14454.73074,14617.19454,156894.0504,160673.2229,155290.0829,364846.3759,278071.1952,284872.9283,439144.9838,450866.1277,442380.537,82379.84802,100364.3805,91915.48065,694.282123,327.7956009,0
NP-026098_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6918.526928,0,0,0,0,0,0,1207.109502,477.8924082,662.8338781,20284.84283,21016.843,20157.13471
NP-024089_pos,24557.60229,24219.74662,25631.20886,15318.34632,13908.03431,15878.9006,21383.91171,21441.08386,21610.36417,0,0,0,0,0,0,78778.14914,76218.61288,77495.84623,91269.38873,88560.15398,87340.32176,140.017553,165.8709967,167.1061751,27553.14327,32345.73646,29635.61237,0,0,0
NP-023967_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26450.66209,26995.06644,26918.1585,0,0,0,0,0,0
NP-023956_neg,0,0,0,0,0,0,0,0,0,0,0,0,32454.87414,33930.58125,32676.02964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-023872_neg,0,0,0,87.91440303,97.91096776,98.40433024,1350.424291,1517.299974,652.7921553,22710.57888,22174.79193,22119.72538,50599.49404,53785.95826,52661.30017,0,0,5380.97909,0,0,0,0,0,0,0,0,0,95141.76672,97618.9765,92937.37913
NP-021146_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27388.82542,27369.36949,27728.44531,36131.02102,35898.2184,35717.10135,3658.917076,3548.16901,2853.632654,725.1621477,1718.98761,3105.004376,14817.30513,10341.96907,32242.85146
NP-018511_pos,163566.9908,159807.7688,167304.8876,271233.166,264524.2999,268011.7269,183680.6729,180703.034,183732.2996,108362.0945,110134.7027,107432.2965,9240.192086,9678.121979,9157.78287,230480.4008,232143.3214,233987.9527,285830.3656,284370.1928,285505.9122,116243.5393,116897.5832,144838.5021,230453.3677,251772.9737,244420.0205,15014.83592,14770.80901,41842.49856
NP-016981_neg,0,0,0,8151.789165,8210.438785,8200.05525,15981.38451,16121.35337,15061.70926,2444.267555,4415.629782,3151.323172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-016768_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283047.0648,283841.9268,287041.2693,129429.9054,126743.9799,127545.319,19048.60951,19819.32785,18952.84192,272.4888896,392.1943391,186.2293486,14644.37015,14365.49152,13727.83178
NP-015807_neg,6873.734226,6766.606289,7088.036025,16659.78888,15655.18259,15857.67628,21275.32873,21477.75608,21167.77558,11063.49686,10757.04616,10044.99934,87.96886643,248.5865359,167.0951166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-014922_neg,46148.36274,46560.80759,47200.50172,43827.30788,42664.4823,43719.63072,83607.43637,85248.11184,82201.00923,5491.426218,3778.178473,5821.098422,70910.08041,73695.12926,73469.30276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-013723_neg,2453.536741,5128.934213,4751.858919,54013.15182,51852.68969,52893.70926,13859.94354,9103.771961,13078.85181,123993.6597,84199.80493,121377.3627,52172.37228,54373.83932,54300.19471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-013522_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.7745515,0,0,0,0,0,0,1697.010338,1187.143021,1350.720196,7862.436102,6847.035675,7783.789458
NP-012438_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.94076751,138.0864198,111.8168714
NP-011548_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.76270089,62.7893322,364.6607096
NP-007243_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-003845_pos,44490.58938,44018.42384,46419.0199,54740.68454,52850.74137,57130.65743,45256.54643,43643.1272,45486.15883,33261.54843,35165.54657,33373.47221,38995.2241,40962.43553,40067.8038,37927.60901,42212.29204,47852.15747,33586.69243,33581.41422,38830.18259,36437.772,37208.32059,37137.24733,81652.73573,47679.85331,42821.41165,37352.73397,36539.46177,52436.15137
NP-003388_neg,10104.36135,9954.643305,12719.68244,6007.724658,5355.679235,4577.622339,67624.35797,66382.59158,67918.81488,408.2205262,1132.52479,1394.820214,7198.014618,7325.39019,7813.603419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-002740_neg,0,0,0,50592.89359,49589.15858,49719.81428,126843.0133,128462.0874,124042.5961,64430.44857,64330.72546,64743.87372,4645.259419,4587.23611,5053.754187,71232.83404,64598.11561,84523.783,0,0,0,0,0,0,25602.30447,25255.1673,24527.33168,2801.102583,3090.48843,2552.277302
NP-002608_pos,9908.373896,9419.400671,11216.21971,32438.86852,32205.0014,31507.59192,17127.75734,17672.30763,17381.83615,670.6351153,2071.738164,2267.179891,10701.36346,12442.44761,12103.64654,130533.5437,128782.9666,64770.23242,74868.50986,74299.93768,74401.49089,5196.262424,1988.800012,1502.049193,27046.93584,33677.49244,30088.92087,156.392956,0,0
NP-002322_neg,39617.52178,38634.49109,42620.53899,16717.17989,15782.52834,16411.56557,37102.98013,37281.09752,36399.85741,17788.94047,17481.74247,17671.73192,16793.07566,16016.2188,17991.43355,425190.523,415412.414,373425.6715,0,0,486138.1896,0,0,0,48267.1579,46623.67607,48006.3955,18630.94509,20337.59354,19680.30763
NP-001383_neg,3267.147001,4276.324215,2618.865478,50890.1756,48901.32047,49762.64233,24474.94237,26438.55298,24339.24846,0,0,0,136.8887542,87.52780697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP-000591_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57134.78635,56191.73185,56233.81243,118350.783,117807.0883,115998.8417
NP-000547_neg,278595.4094,283858.1537,285408.6313,152026.26,140460.5268,140358.6665,145575.7037,146175.7633,142206.5831,330550.1431,326346.5201,326753.8431,185769.8081,192554.3536,190810.6954,811457.2872,869597.5065,810997.389,0,0,1711407.204,0,0,0,234382.4282,227924.5838,231326.4566,249360.9436,260519.7395,246887.2488
NP-000531_neg,1273.655943,911.6037384,733.4514006,0,0,0,0,0,0,198.2278736,345.419681,524.6190238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-Malonyltryptophan_pos,73185.99801,71772.46075,71682.06076,199034.112,196633.0812,196968.183,89151.96362,87337.83912,89135.00923,79279.11006,80287.30128,79386.63401,490023.0087,491375.4224,493945.8022,383519.866,391370.6117,397357.1024,427318.1269,420613.8472,426110.7809,808976.3358,818377.702,805563.5506,235202.6894,267177.651,246470.6049,596601.7496,598338.5001,1419978.068
Nicotiflorin_pos,0,0,0,19821.25404,20176.76755,20325.12881,42815.83318,42275.9578,42991.39063,12001.25984,10247.33385,11768.19489,614.0903723,874.2022748,493.6924759,58740.09888,57441.53709,58781.84095,167.2398545,300.3481559,134.9614733,186540.8442,150355.0322,184557.5474,11673.90169,13056.48425,13523.76497,328.3341819,447.2604533,377718.6306
Nepetin_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00385232-01!(2S,3R,4R)-3,4-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-3,4-dihydro-2H-pyran-2,6-dicarboxylic acid [IIN-based: Match]_pos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00384922-01!(2R,3R,4S,5S,6R)-2-octoxy-6-[[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxymethyl]oxane-3,4,5-triol_neg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic acid, 3-(hexopyranosyloxy)-2-hydroxypropyl ester, (9Z,12Z,15Z)-_neg",10250.55714,10138.41648,10295.17203,6434.700965,6434.009811,7185.778025,9543.735888,9049.519331,8732.31502,11322.05545,11113.76196,10805.70711,13083.11282,13654.64769,13845.47284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00380271-01_C24H40O11_2-Cyclohexen-1-one, 3,5,5-trimethyl-4-[3-[(6-O-beta-D-xylopyranosyl-beta-D-glucopyranosyl)oxy]butyl]-_neg",7928.53626,7515.860158,8509.034692,9793.425861,16089.89901,9313.418307,13238.10867,13050.1105,13117.87202,198.721432,71.20934693,84.98078246,3673.925269,2549.565788,1878.628977,0,0,2265.51838,0,0,0,0,0,0,567.9600528,1788.085415,1638.677966,5354.474984,5053.340041,4891.362846
"NCGC00347813-02_C19H22N2O9_Uridine, 3'-(2,4-dimethoxy-6-methylbenzoate)_neg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54524.79548,62685.48294,55828.10871,0,0,20682.7902,0,0,0,61206.15238,61409.72552,62563.93739,57226.12515,59552.87,57693.36323
"NCGC00179860-02!6-[(3R,4S,5S,7R)-7-[(2S,3S,5S)-5-ethyl-5-[(2R,5R,6S)-5-ethyl-5-hydroxy-6-methyloxan-2-yl]-3-methyloxolan-2-yl]-4-hydroxy-3,5-dimethyl-6-oxononyl]-2-hydroxy-3-methylbenzoic acid_pos",319112.3358,315333.6874,318879.6341,329278.3416,324256.7803,329124.2651,282196.6364,280292.4011,285076.3924,268216.6048,274063.9563,263923.9848,302278.0607,300273.7159,299956.3241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naringenin_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21923.97427,37473.21311,37947.6495,0,0,0,0,0,0,7003.54195,5341.818759,8058.089487,55.82718469,252.0900145,119.7523876
Naringenin chalcone_neg,3128.116403,2407.037783,2380.733544,32625.06109,31947.95191,32484.18405,58713.31804,59310.24372,57985.10009,6541.610675,6649.795553,6607.067575,871.5121685,1702.990252,1537.026691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-acetyltryptophan_neg,89387.48273,91679.1897,91029.15364,159930.0141,156704.7353,156844.4684,78046.09705,78653.51444,76470.15777,74980.09341,74037.33124,73567.07,386424.0181,403323.9692,402957.887,212909.9699,216066.1811,204040.9271,0,0,535915.7128,0,0,0,166277.5932,162560.6218,162965.6702,300141.9709,303048.5076,301683.4505
N-Acetyl-DL-glutamic acid_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093.604334,297.0730327,965.7187019,2118.596832,727.6110902,464.8925428
