feature,Common-bean_G13094_cooked_pos_472025_011,Common-bean_G13094_cooked_pos_472025_012,Common-bean_G13094_cooked_pos_472025_013,Common-bean_G17162A_cooked_pos_472025_014,Common-bean_G17162A_cooked_pos_472025_015,Common-bean_G17162A_cooked_pos_472025_016,Common-bean_G4449_cooked_pos_472025_023,Common-bean_G4449_cooked_pos_472025_024,Common-bean_G4449_cooked_pos_472025_025,Lima-bean_G26506_cooked_pos_472025_017,Lima-bean_G26506_cooked_pos_472025_018,Lima-bean_G26506_cooked_pos_472025_019,Tepary-bean_G40084_cooked_pos_472025_020,Tepary-bean_G40084_cooked_pos_472025_021,Tepary-bean_G40084_cooked_pos_472025_022,Common-bean_G4449_019,Common-bean_G4449_020,Common-bean_G4449_021,Common-bean_G13094_022,Common-bean_G13094_023,Common-bean_G13094_024,Lima-bean_G26506_051,Lima-bean_G26506_052,Lima-bean_G26506_053,Common-bean_G17162A_038,Common-bean_G17162A_039,Common-bean_G17162A_040,Tepary-bean_G40084_085,Tepary-bean_G40084_086,Tepary-bean_G40084_087
Group,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw
669.4546547@630.6821513196527_neg,19949.2271,21482.21934,21842.7823,33160.59355,31345.78275,32417.67212,21883.19448,22274.50039,21066.36276,8513.602287,7438.17052,8509.777433,26631.4121,27951.97876,27380.45599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669.4532838@670.6178020090448_pos,553.9493618,1031.587201,788.8493692,179.5558613,147.0671441,171.3909697,167.6023506,309.3196456,153.4158099,252.8540779,158.9940981,144.567095,109.4117113,118.222994,110.1766968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669.3646921@347.7623221305861_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763.72642,6831.20261,3847.0078,0,0,0
669.3045103@302.6060264180273_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260938.4562,258096.3051,217564.7491,0,0,3017835.52,0,0,0,240543.7322,236266.4026,240786.9806,149.7479655,314.0656113,266.2734253
669.2573302@135.8098332882043_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402.185142,1314.355322,849.2561366,0,48.99490138,48.31372966
669.2551649@140.581240813462_neg,23081.58003,23724.98475,25006.29063,8997.962418,8303.683076,8730.156387,14465.58459,14796.86829,14313.91428,13182.14108,12405.32348,12169.54441,171.3098341,931.7844661,585.7130702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.5628202@759.7687914185408_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110987.9139,100211.4687,95988.6597,95431.06297,97903.71783,90839.00758,11859.83313,10990.87778,6753.764103,20490.85741,23806.9925,17526.19328,61886.24626,63373.46744,87042.18891
668.3658399@315.593123547577_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63890.40931,65261.566,65110.51624,77765.94473,77689.10398,77717.70646,106094.5496,108044.9832,107054.1655,85111.12197,114478.2242,105134.4642,73084.26863,73561.89185,57577.64037
668.3608952@313.9420232846367_pos,47216.54744,46557.81326,47185.00598,48272.48711,48036.93325,48124.40822,40874.21567,40292.9315,41087.7819,47571.65418,46721.95182,46575.59767,39338.32183,39369.95198,39336.22612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.341495@419.2899014484669_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.2969334@328.0127981753784_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4382.26334,3467.436991,5222.724756,0,0,0
668.2847481@118.9542877890845_neg,0,0,0,0,0,0,0,0,0,25099.47744,20157.30327,18114.00509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.2395801@153.4832452483047_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.2035495@678.7560224104163_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50626.79712,49455.48212,45566.32452,0,0,0,0,0,0
668.2013721@680.7996940107819_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.1177957@157.2435190063328_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.0610857@157.9504081086175_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.0321801@156.9961283917428_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.497388@156.9145043251339_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.4382935@162.5156611701187_neg,0,0,0,0,0,0,0,0,0,15013.91934,14334.70088,15282.38403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.3392156@419.9597371504427_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.9874734,164.6102245,490.1256808,0,0,0,0,0,0,0,0,0,0,0,0
667.3135464@156.9441892041008_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.3119891@162.4814926666756_neg,0,0,0,0,0,0,0,0,0,20220.3195,19914.79848,19841.02487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.2971318@275.759436556378_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89344.01842,92046.3074,90013.51958,0,0,0,0,0,0
667.2749258@217.8842243368862_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.2707925@368.7409735759402_pos,0,0,0,0,0,0,0,0,0,24499.45321,24859.12362,24379.33429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.261332@203.6740739291004_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.2444981@214.3461737885611_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3822.472155,3849.120187,3482.89083
667.2232121@296.7831460340978_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.223018@303.6216519757068_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.220783@311.2734129241855_neg,0,0,0,0,0,0,0,0,0,14894.94809,14380.07497,14493.13311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
